card_id,account_id,card_type,masked_pan,expiry,status
CARD-0112,ACC-0083,credit,############5185,2025-10,active
CARD-0113,ACC-0020,credit,############7680,2029-10,active
CARD-0114,ACC-0020,debit,############2189,2030-10,closed
CARD-0115,ACC-0149,credit,############5225,2029-10,active
CARD-0116,ACC-0202,debit,############4936,2028-08,active
CARD-0117,ACC-0177,debit,############6959,2027-10,active
CARD-0118,ACC-0063,debit,############7670,2026-11,active
CARD-0119,ACC-0030,credit,############7966,2029-12,blocked
CARD-0120,ACC-0150,credit,############2670,2029-09,active
CARD-0121,ACC-0082,debit,############6294,2024-03,active
CARD-0122,ACC-0071,debit,############5066,2025-10,active
CARD-0123,ACC-0190,debit,############2248,2028-06,closed
CARD-0124,ACC-0058,debit,############4476,2024-11,active
CARD-0125,ACC-0081,credit,############3745,2027-06,active
CARD-0126,ACC-0161,credit,############7772,2026-11,active
CARD-0127,ACC-0161,credit,############9343,2030-04,active
CARD-0128,ACC-0048,credit,############6377,2029-06,active
CARD-0129,ACC-0015,debit,############1594,2028-10,closed
CARD-0130,ACC-0123,debit,############3213,2029-01,active
CARD-0131,ACC-0210,credit,############2192,2027-07,active
CARD-0132,ACC-0144,credit,############4136,2028-06,closed
CARD-0133,ACC-0066,debit,############1906,2024-08,active
CARD-0134,ACC-0046,debit,############3769,2027-07,active
CARD-0135,ACC-0161,credit,############6534,2024-02,active
CARD-0136,ACC-0095,credit,############9869,2028-10,active
CARD-0137,ACC-0172,debit,############8570,2026-06,active
CARD-0138,ACC-0004,credit,############1683,2026-11,active
CARD-0139,ACC-0096,credit,9660-8103-4272-5897,2024-02,active
CARD-0140,ACC-0120,credit,############7307,2026-12,active
CARD-0141,ACC-0207,credit,############5360,2027-02,active
CARD-0142,ACC-0006,debit,8273-2354-3415-5838,2029-09,active
CARD-0143,ACC-0100,debit,############9357,2026-07,closed
CARD-0144,ACC-0146,debit,############1937,2024-02,active
CARD-0145,ACC-0150,debit,############5927,2025-11,active
CARD-0146,ACC-0165,credit,############4510,2025-12,active
CARD-0147,ACC-0047,credit,############4240,2027-02,active
CARD-0148,ACC-0148,credit,############8050,2026-06,active
CARD-0149,ACC-0097,debit,############9406,2024-05,active
CARD-0150,ACC-0185,debit,############9965,2030-02,active
CARD-0151,ACC-0096,credit,############5581,2027-06,active
CARD-0152,ACC-0109,credit,############9794,2025-04,expired
CARD-0153,ACC-0051,debit,############6589,2028-07,active
CARD-0154,ACC-0068,debit,############6841,2024-09,active
CARD-0155,ACC-0073,debit,9462-3642-9613-4107,2026-07,active
CARD-0156,ACC-0188,debit,############8670,2027-02,active
CARD-0157,ACC-0039,debit,############3856,2025-02,active
CARD-0158,ACC-0203,credit,############1825,2028-12,active
CARD-0159,ACC-0023,credit,############6862,2030-07,active
CARD-0160,ACC-0078,debit,############3120,2028-10,expired
CARD-0161,ACC-0015,credit,############4708,2030-10,active
CARD-0162,ACC-0058,credit,############6530,2024-02,active
CARD-0163,ACC-0040,credit,############9115,2026-04,active
CARD-0164,ACC-0108,credit,############2804,2027-08,active
CARD-0165,ACC-0051,debit,############8149,2028-10,closed
CARD-0166,ACC-0095,credit,############4248,2028-01,active
CARD-0167,ACC-0108,credit,############2611,2026-07,active
CARD-0168,ACC-0048,credit,############1203,2024-07,active
CARD-0169,ACC-0219,credit,############2015,2029-01,active
CARD-0170,ACC-0013,debit,############2490,2025-03,active
CARD-0171,ACC-0037,credit,############1855,2030-10,active
CARD-0172,ACC-0136,debit,############4757,2029-09,active
CARD-0173,ACC-0208,debit,############5361,2030-10,active
CARD-0174,ACC-0059,credit,############7067,2028-06,active
CARD-0175,ACC-0160,debit,############8807,2024-03,active
CARD-0176,ACC-0197,credit,############7121,2024-08,closed
CARD-0177,ACC-0065,debit,############2265,2026-01,active
CARD-0178,ACC-0196,credit,############7645,2026-10,active
CARD-0179,ACC-0005,credit,5212-4838-3120-7047,2024-03,active
CARD-0180,ACC-0142,credit,############8989,2029-02,expired
CARD-0181,ACC-0170,credit,############4756,2029-06,active
CARD-0182,ACC-0035,debit,############6403,2030-04,blocked
CARD-0183,ACC-0117,debit,9071-2605-5176-5884,2028-07,active
CARD-0184,ACC-0199,debit,############5960,2030-02,active
CARD-0185,ACC-0153,debit,############9203,2027-03,active
CARD-0186,ACC-0067,credit,############7141,2027-05,active
CARD-0187,ACC-0039,credit,############9377,2024-02,active
CARD-0188,ACC-0208,credit,############5879,2025-03,active
CARD-0189,ACC-0220,credit,############4214,2024-02,active
CARD-0190,ACC-0170,debit,############3541,2029-03,active
CARD-0191,ACC-0114,credit,############7515,2024-10,active
CARD-0192,ACC-0019,debit,############6392,2028-09,active
CARD-0193,ACC-0018,credit,############4362,2026-03,active
CARD-0194,ACC-0201,credit,############1957,2027-11,active
CARD-0195,ACC-0197,credit,############3789,2024-05,active
CARD-0196,ACC-0148,credit,############8026,2026-06,active
CARD-0197,ACC-0176,credit,9972-7509-1401-7812,2025-08,expired
CARD-0198,ACC-0014,credit,9755-5303-3499-1553,2026-07,active
CARD-0199,ACC-0019,credit,############3881,2029-10,active
CARD-0200,ACC-0028,credit,############1389,2030-01,blocked
CARD-0201,ACC-0129,debit,############5614,2028-06,active
CARD-0202,ACC-0208,debit,############1877,2029-12,closed
CARD-0203,ACC-0023,debit,############8766,2026-12,active
CARD-0204,ACC-0143,debit,############7376,2029-10,active
CARD-0205,ACC-0071,credit,############6073,2028-05,closed
CARD-0206,ACC-0110,credit,############5066,2029-01,active
CARD-0207,ACC-0083,credit,4633-2251-5005-2125,2030-09,active
CARD-0208,ACC-0111,debit,############9064,2025-07,active
CARD-0209,ACC-0218,debit,############2768,2025-05,closed
CARD-0210,ACC-0219,credit,############9530,2026-07,active
CARD-0211,ACC-0174,debit,############9036,2026-09,active
CARD-0212,ACC-0208,credit,############2286,2030-01,active
CARD-0213,ACC-0009,credit,############4849,2025-12,active
CARD-0214,ACC-0171,credit,############1815,2027-12,active
CARD-0215,ACC-0072,credit,############2057,2025-10,active
CARD-0216,ACC-0200,debit,############9387,2027-12,blocked
CARD-0217,ACC-0088,credit,############8349,2024-02,active
CARD-0218,ACC-0101,debit,############7085,2027-03,active
CARD-0219,ACC-0168,credit,############5190,2025-09,active
CARD-0220,ACC-0150,debit,############4140,2029-04,active
CARD-0221,ACC-0192,credit,############6672,2029-01,active
CARD-0222,ACC-0067,debit,############7938,2028-05,closed
CARD-0223,ACC-0013,credit,############7536,2025-10,active
CARD-0224,ACC-0222,credit,############3113,2028-07,closed
CARD-0225,ACC-0070,credit,############5910,2024-02,active
CARD-0226,ACC-0035,debit,############8186,2028-11,active
CARD-0227,ACC-0146,debit,############2214,2025-09,closed
CARD-0228,ACC-0079,debit,############4027,2027-06,active
CARD-0229,ACC-0150,debit,############5595,2024-09,active
CARD-0230,ACC-0108,debit,############6749,2029-02,active
CARD-0231,ACC-0197,credit,############6861,2026-01,active
CARD-0232,ACC-0151,credit,############4525,2024-08,active
CARD-0233,ACC-0147,credit,############3156,2024-02,active
CARD-0234,ACC-0069,debit,############1529,2027-08,active
CARD-0235,ACC-0158,debit,############8228,2025-07,active
CARD-0236,ACC-0183,credit,############1975,2028-01,active
CARD-0237,ACC-0142,debit,############2537,2025-12,active
CARD-0238,ACC-0141,credit,############7379,2024-04,active
CARD-0239,ACC-0023,credit,############3664,2029-11,active
CARD-0240,ACC-0122,debit,############7331,2024-10,active
CARD-0241,ACC-0166,debit,############2945,2029-05,active
CARD-0242,ACC-0069,debit,############5936,2026-01,active
CARD-0243,ACC-0016,credit,############5094,2030-12,active
CARD-0244,ACC-0036,debit,############6274,2030-06,active
CARD-0245,ACC-0144,credit,############8578,2030-08,expired
CARD-0246,ACC-0183,credit,############1983,2029-02,active
CARD-0247,ACC-0080,debit,############7081,2029-02,active
CARD-0248,ACC-0090,credit,############5699,2024-06,active
CARD-0249,ACC-0062,credit,############9096,2024-10,active
CARD-0250,ACC-0212,debit,############2518,2027-07,active
CARD-0251,ACC-0061,debit,############7512,2026-01,active
CARD-0252,ACC-0122,credit,############5586,2026-05,active
CARD-0253,ACC-0110,debit,############2540,2027-10,active
CARD-0254,ACC-0077,debit,############9051,2026-09,closed
CARD-0255,ACC-0117,debit,############8895,2024-10,active
CARD-0256,ACC-0035,debit,############8401,2027-09,closed
CARD-0257,ACC-0152,credit,7744-3391-4369-4495,2025-03,active
CARD-0258,ACC-0192,debit,############3283,2026-12,active
CARD-0259,ACC-0145,debit,2748-8327-1057-5798,2026-04,blocked
CARD-0260,ACC-0133,credit,############5063,2027-10,active
CARD-0261,ACC-0084,debit,############4791,2029-09,active
CARD-0262,ACC-0040,debit,############6229,2026-08,active
CARD-0263,ACC-0132,credit,############8161,2030-08,active
CARD-0264,ACC-0145,credit,############5167,2028-09,active
CARD-0265,ACC-0198,credit,############9681,2027-01,active
CARD-0266,ACC-0081,debit,############4798,2029-06,active
CARD-0267,ACC-0107,credit,############4761,2024-09,closed
CARD-0268,ACC-0166,credit,############3512,2025-05,active
CARD-0269,ACC-0062,credit,############1609,2024-02,active
CARD-0270,ACC-0128,debit,############7577,2025-09,active
CARD-0007,ACC-0196,debit,############4134,2026-01,active
CARD-0081,ACC-0129,debit,############6167,2027-03,active
CARD-0069,ACC-0207,credit,############6367,2026-10,active
CARD-0082,ACC-0126,debit,############3167,2024-02,active
CARD-0022,ACC-0093,debit,############9355,2028-07,active
CARD-0020,ACC-0050,credit,############3213,2029-06,active
CARD-0077,ACC-0048,credit,############9572,2026-12,active
CARD-0019,ACC-0124,debit,############8651,2028-03,active
CARD-0063,ACC-0180,debit,############2059,2024-05,active
CARD-0005,ACC-0100,debit,############1001,2030-12,active
CARD-0081,ACC-0129,debit,############6167,2027-03,active
CARD-0121,ACC-0082,debit,############6294,2024-03,active
